operation_date;balance
1683576000000;10000.0
1696075193377;9900.0
1696075204871;9800.0
1696075206192;9700.0
1696075225000;9600.0
1696075231236;9500.0
1696075236457;9400.0
1696075240441;9300.0
1696075242937;9200.0
1696075262156;9100.0
1696075297468;9000.0
1696075313841;8900.0
1696075363723;8800.0
1696075374214;8700.0
1696075435618;8600.0
1696075446288;8500.0
1696075503143;8400.0
1696075536477;8300.0
1696075588060;8200.0
1696075631889;8100.0
1696075658402;8000.0
1696075861146;7900.0
1696075927229;7800.0
1696076066954;7700.0
1696076134524;7600.0
1696076168606;7500.0
1696076179451;7400.0
1696076179646;7300.0
1696076337880;7200.0
1696076356525;7100.0
1696076410330;7000.0
1696076508367;6900.0
1696076704538;6800.0
1696077111301;6700.0
1696077270623;6600.0
1696078659590;6500.0
1696078767757;6601.081609167159
1696078857141;6501.081609167159
1696078858111;6401.081609167159
1696078870503;6301.081609167159
1696078874300;6201.081609167159
1696078892924;6101.081609167159
1696078893288;6101.081609167159
1696079043319;6001.081609167159
1696079166892;5901.081609167159
1696079175378;5801.081609167159
1696079342282;5902.803204767406
1696079943687;6004.117705952376
1696080179633;5904.117705952376
1696080406918;5804.117705952376
1696080639918;5704.117705952376
1696080790353;5604.117705952376
1696080939299;5504.117705952376
1696080950119;5404.117705952376
1696082147494;5304.117705952376
1696082415498;5204.117705952376
1696082512099;5104.117705952376
1696083316561;5004.117705952376
1696083342665;4904.117705952376
1696083615822;4804.117705952376
1696084485412;4704.117705952376
1696085321594;4801.105068158358
1696085336100;4701.105068158358
1696085338147;4802.114557102323
1696085386073;4702.114557102323
1696085448152;4804.019317217171
1696085452523;4901.338602043688
1696085460725;4801.338602043688
1696085490118;4701.338602043688
1696086015673;4601.338602043688
1696086024236;4501.338602043688
1696086025635;4401.338602043688
1696086467051;4502.893692068756
1696086921096;4402.893692068756
1696086949078;4302.893692068756
1696087026676;4403.9002555422485
1696088795888;4504.940644837916
1696088801973;4505.132722109556
1696088815575;4405.132722109556
1696089698395;4305.132722109556
1696090082385;4406.439295969904
1696090170030;4508.027339726687
1696090192000;4408.027339726687
1696090439926;4509.064016025514
1696090479399;4409.064016025514
1696090488448;4309.064016025514
1696091257406;4410.083596408368
1696091264176;4511.086346022786
1696091324956;4411.086346022786
1696091424540;4311.086346022786
1696093226625;4211.086346022786
1696093228913;4111.086346022786
1696093391559;4212.195915076883
1696094229901;4112.195915076883
1696094331550;4012.1959150768826
1696094366318;3912.1959150768826
1696094445081;3812.1959150768826
1696094461525;3712.1959150768826
1696094563715;3612.1959150768826
1696094857276;3512.1959150768826
1696095049621;3412.1959150768826
1696096822871;3312.1959150768826
1696096837886;3212.1959150768826
1696096844703;3313.7098560514182
1696099079132;3414.843591798374
1696099098149;3314.843591798374
1696103486812;3415.879357449988
1696103499220;3315.879357449988
1696104013628;3215.879357449988
1696106330242;3316.8922644821564
1696106344412;3216.8922644821564
1696106578724;3317.918049162105
1696106707794;3217.918049162105
1696107610334;3117.918049162105
1696107611056;3117.918049162105
1696107612490;3017.918049162105
1696107637567;2917.918049162105
1696107640018;2817.918049162105
1696108702982;2717.918049162105
1696110926067;2617.918049162105
1696122012076;2517.918049162105
1696124308115;2417.918049162105
1696126589448;2519.0454487844463
1696126606011;2419.0454487844463
1696128865517;2520.0483331612404
1696128874401;2420.0483331612404
1696130476884;2521.052226532912
1696131003420;2618.975722133044
1696131762727;2716.9014821606675
1696136433700;2616.9014821606675
1696137957156;2714.8295120769462
1696138061472;2815.955633048076
1696138071449;2715.955633048076
1696138974062;2817.579082190859
1696138991998;2717.579082190859
1696140039047;2819.096452809772
1696140048699;2719.096452809772
1696140510852;2820.1171161345155
1696140524599;2720.1171161345155
1696140722675;2818.067498292676
1696140751556;2718.067498292676
1696142976792;2819.5710870175576
1696142989547;2719.5710870175576
