operation_date;symbol;interval;operation;amount_invested;balance;take_profit;stop_loss;purchase_price;sell_price;PnL;rsi;status
1696075193405;ADAUSDT;1h;BUY;100.0;9900.0;0.254765;0.24347;0.251;0.0;0.0;50.9;SOBE
1696075204887;ADAUSDT;15m;BUY;100.0;9800.0;0.247235;0.25853;0.251;0.0;0.0;42.49;CAI
1696075206208;ATOMUSDT;1h;BUY;100.0;9700.0;7.27907;7.06286;7.207;0.0;0.0;62.09;SOBE
1696075225072;AVAXUSDT;30m;BUY;100.0;9600.0;8.9768;9.5264;9.16;0.0;0.0;37.29;CAI
1696075231280;AVAXUSDT;5m;BUY;100.0;9500.0;9.0684;9.3432;9.16;0.0;0.0;37.6;CAI
1696075236642;BCHUSDT;30m;BUY;100.0;9400.0;239.597994;225.503994;234.899994;0.0;0.0;50.78;SOBE
1696075240481;BCHUSDT;1m;BUY;100.0;9300.0;232.550994;239.597994;234.899994;0.0;0.0;56.06;CAI
1696075242948;BNBUSDT;15m;BUY;100.0;9200.0;216.746006;210.308006;214.600006;0.0;0.0;37.9;SOBE
1696075262307;BTCUSDT;15m;BUY;100.0;9100.0;27205.38959;26397.308711;26936.029297;0.0;0.0;48.45;SOBE
1696075297669;DOGEUSDT;15m;BUY;100.0;9000.0;0.061152;0.063005;0.06177;0.0;0.0;47.49;CAI
1696075313875;DOGEUSDT;5m;BUY;100.0;8900.0;0.062408;0.060554;0.06179;0.0;0.0;45.51;SOBE
1696075363945;DOTUSDT;30m;BUY;100.0;8800.0;4.14729;3.96342;4.086;0.0;0.0;50.59;SOBE
1696075374322;ETHUSDT;15m;BUY;100.0;8700.0;1693.052939;1642.764238;1676.290039;0.0;0.0;57.84;SOBE
1696075435941;LINKUSDT;15m;BUY;100.0;8600.0;8.03894;8.53112;8.203;0.0;0.0;87.83;CAI
1696075446606;LINKUSDT;30m;BUY;100.0;8500.0;8.12097;8.36706;8.203;0.0;0.0;80.14;CAI
1696075503532;LTCUSDT;1h;BUY;100.0;8400.0;64.973697;66.942597;65.629997;0.0;0.0;56.13;CAI
1696075537096;ETHUSDT;5m;BUY;100.0;8300.0;1693.325659;1643.028857;1676.560059;0.0;0.0;57.32;SOBE
1696075588409;LTCUSDT;1m;BUY;100.0;8200.0;64.963803;66.932403;65.620003;0.0;0.0;18.59;CAI
1696075631965;LTCUSDT;5m;BUY;100.0;8100.0;64.973697;66.942597;65.629997;0.0;0.0;48.12;CAI
1696075658845;MATICUSDT;15m;BUY;100.0;8000.0;0.522621;0.538458;0.5279;0.0;0.0;69.43;CAI
1696075861610;BCHUSDT;5m;BUY;100.0;7900.0;237.653003;230.594003;235.300003;0.0;0.0;66.02;SOBE
1696075927759;SOLUSDT;30m;BUY;100.0;7800.0;20.63495;19.7201;20.33;0.0;0.0;61.42;SOBE
1696076067411;TRXUSDT;1h;BUY;100.0;7700.0;0.089607;0.086946;0.08872;0.0;0.0;64.49;SOBE
1696076135343;ETHUSDT;1m;BUY;100.0;7600.0;1693.901305;1643.587405;1677.130005;0.0;0.0;84.12;SOBE
1696076168938;SOLUSDT;1m;BUY;100.0;7500.0;20.5434;19.9332;20.34;0.0;0.0;69.58;SOBE
1696076179566;TRXUSDT;30m;BUY;100.0;7400.0;0.089607;0.086946;0.08872;0.0;0.0;57.43;SOBE
1696076179804;DOGEUSDT;1m;BUY;100.0;7300.0;0.062448;0.060593;0.06183;0.0;0.0;39.07;SOBE
1696076338564;UNIUSDT;30m;BUY;100.0;7200.0;4.4844;4.3512;4.44;0.0;0.0;48.36;SOBE
1696076356756;ADAUSDT;1m;BUY;100.0;7100.0;0.253308;0.245784;0.2508;0.0;0.0;68.01;SOBE
1696076410548;WBTCUSDT;15m;BUY;100.0;7000.0;27536.113242;25916.341875;26996.189453;0.0;0.0;51.04;SOBE
1696076508739;WBTCUSDT;30m;BUY;100.0;6900.0;27536.113242;25916.341875;26996.189453;0.0;0.0;50.9;SOBE
1696076704907;XLMUSDT;30m;BUY;100.0;6800.0;0.114546;0.107808;0.1123;0.0;0.0;37.1;SOBE
1696077111386;XRPUSDT;15m;BUY;100.0;6700.0;0.527646;0.496608;0.5173;0.0;0.0;43.6;SOBE
1696077270973;XRPUSDT;30m;BUY;100.0;6600.0;0.524856;0.501587;0.5171;0.0;0.0;49.18;SOBE
1696078659766;XLMUSDT;1m;BUY;100.0;6500.0;0.113625;0.11025;0.1125;0.0;0.0;43.03;SOBE
