date;symbol;interval;estimator;fix_imbalance_method;stop_loss;times_regression_profit_and_loss;features;final_value;CAI;ESTAVEL;SOBE;final_score
2023-10-20 07:27:05;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume'];369.148311975502;0.2619047619047619;0.6834798704303563;0.1819235225955967;0.2219141422501793
2023-10-20 07:28:18;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];163.8501396467036;0.3403880070546737;0.6173068024062934;0.1757435303205871;0.2580657686876304
2023-10-20 07:26:21;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'number_of_trades'];209.20616469237984;0.3187830687830688;0.5497454881999074;0.2101197373503283;0.2644514030666985
2023-10-20 07:26:08;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume'];120.8437414388574;0.3950617283950617;0.6228597871355854;0.1514098107377365;0.2732357695663991
2023-10-20 07:29:47;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];379.7523786122499;0.4007936507936508;0.6219342896807034;0.1637697952877559;0.2822817230407033
2023-10-20 07:27:33;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume'];211.5529373128563;0.3403880070546737;0.5765849143914854;0.2267284665894167;0.2835582368220452
2023-10-20 07:29:05;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_quote_asset_volume'];245.1821354342165;0.2791005291005291;0.5613142063859324;0.2885283893395133;0.2838144592200212
2023-10-20 07:29:00;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume'];179.28859583702845;0.3681657848324515;0.5890791300323924;0.2020084974893781;0.2850871411609148
2023-10-20 07:30:22;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume'];226.4845386740124;0.4069664902998236;0.5816751503933364;0.1869447663190421;0.2969556283094329
2023-10-20 07:29:23;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_base_asset_volume'];197.7016869064653;0.419753086419753;0.6094400740397964;0.1769022788721514;0.2983276826459522
2023-10-20 07:26:28;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume'];142.160274779141;0.4303350970017636;0.6062008329477094;0.1946697566628041;0.3125024268322839
