id|symbol|interval|operation|target_margin|amount_invested|take_profit|stop_loss|purchase_price|sell_price|pnl|rsi|margin_operation|balance|strategy|operation_date|created_at
1|LTCUSDT|1m|BUY|1.0|100.0|68.2803012084961|72.4185012817383|68.9700012207031|0.0|0.0|44.210319519043|0.0|9900.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:00.740406
2|BCHUSDT|1m|BUY|1.0|100.0|233.64|247.8|236.0|0.0|0.0|48.2376708984375|0.0|9800.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:01.248603
3|ADAUSDT|1m|BUY|1.0|100.0|0.303237014114857|0.321615014970303|0.306300014257431|0.0|0.0|50.9275054931641|0.0|9700.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:02.898997
4|LINKUSDT|1m|BUY|1.0|100.0|10.899900226593|11.5605002403259|11.0100002288818|0.0|0.0|52.1202392578125|0.0|9600.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:03.079588
5|DOTUSDT|1m|BUY|1.0|100.0|4.65306987285614|4.37664988040924|4.60699987411499|0.0|0.0|43.5410690307617|0.0|9500.0|LONG|2023-11-02 12:35:00.000000|2023-11-02 15:36:03.844780
6|BNBUSDT|1m|BUY|1.0|100.0|227.10599395752|240.869993591309|229.399993896484|0.0|0.0|43.2699165344238|0.0|9400.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:04.212243
7|BTCUSDT|1m|BUY|1.0|100.0|34333.764609375|36414.598828125|34680.5703125|0.0|0.0|40.431827545166|0.0|9300.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:04.242985
8|ATOMUSDT|1m|BUY|1.0|100.0|7.61310005664825|8.07450006008148|7.69000005722046|0.0|0.0|50.1579399108887|0.0|9200.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:05.037231
9|ETHUSDT|1m|BUY|1.0|100.0|1790.24665649414|1898.74645385742|1808.32995605469|0.0|0.0|50.548698425293|0.0|9100.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:05.868274
10|DOGEUSDT|1m|BUY|1.0|100.0|0.0672210019826889|0.0712950021028519|0.0679000020027161|0.0|0.0|51.8534240722656|0.0|9000.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:06.493139
11|MATICUSDT|1m|BUY|1.0|100.0|0.646272023320198|0.685440024733543|0.652800023555756|0.0|0.0|40.4385795593262|0.0|8900.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:06.521235
12|SOLUSDT|1m|BUY|1.0|100.0|41.1146987915039|43.6064987182617|41.5299987792969|0.0|0.0|47.2582054138184|0.0|8800.0|SHORT|2023-11-02 12:35:00.000000|2023-11-02 15:36:07.330970
13|UNIUSDT|1m|BUY|1.0|100.0|4.61367983818054|4.33959984779358|4.56799983978271|0.0|0.0|58.8806610107422|0.0|8700.0|LONG|2023-11-02 12:36:00.000000|2023-11-02 15:37:03.416744
14|XLMUSDT|1m|BUY|1.0|100.0|0.120795997977257|0.11361999809742|0.119599997997284|0.0|0.0|56.8715209960937|0.0|8600.0|LONG|2023-11-02 12:36:00.000000|2023-11-02 15:37:03.640822
15|XMRUSDT|1m|BUY|1.0|100.0|169.29|179.55|171.0|0.0|0.0|57.0565643310547|0.0|8500.0|SHORT|2023-11-02 12:36:00.000000|2023-11-02 15:37:06.544142
16|MATICUSDT|15m|BUY|1.0|100.0|0.647955007553101|0.687225008010864|0.654500007629395|0.0|0.0|33.2191543579102|0.0|8400.0|SHORT|2023-11-02 12:30:00.000000|2023-11-02 15:45:00.803310
17|LTCUSDT|15m|BUY|1.0|100.0|68.4189006042481|72.5655006408691|69.1100006103516|0.0|0.0|37.635082244873|0.0|8300.0|SHORT|2023-11-02 12:30:00.000000|2023-11-02 15:45:02.960303
18|BCHUSDT|15m|BUY|1.0|100.0|233.73900604248|247.905006408691|236.100006103516|0.0|0.0|26.8677978515625|0.0|8200.0|SHORT|2023-11-02 12:30:00.000000|2023-11-02 15:45:03.488699
19|AVAXUSDT|15m|BUY|1.0|100.0|11.553300075531|12.2535000801086|11.6700000762939|0.0|0.0|29.8016891479492|0.0|8100.0|SHORT|2023-11-02 12:30:00.000000|2023-11-02 15:45:05.601581
20|UNIUSDT|15m|BUY|1.0|100.0|4.64802023887634|4.37190022468567|4.60200023651123|0.0|0.0|50.0867767333984|0.0|8000.0|LONG|2023-11-02 12:30:00.000000|2023-11-02 15:45:06.278900
21|LINKUSDT|15m|BUY|1.0|100.0|10.9206901359558|11.5825501441956|11.0310001373291|0.0|0.0|37.4061660766602|0.0|7900.0|SHORT|2023-11-02 12:30:00.000000|2023-11-02 15:45:06.680342
22|DOTUSDT|15m|BUY|1.0|100.0|4.58271018505096|4.86045019626617|4.62900018692017|0.0|0.0|42.3345184326172|0.0|7800.0|SHORT|2023-11-02 12:30:00.000000|2023-11-02 15:45:06.835748
23|AVAXUSDT|1m|BUY|1.0|100.0|11.543399848938|12.2429998397827|11.6599998474121|0.0|0.0|46.2664985656738|0.0|7700.0|SHORT|2023-11-02 12:45:00.000000|2023-11-02 15:46:03.345490
24|UNIUSDT|1m|SELL|1.0|100.0|4.61367983818054|4.33959984779358|4.56799983978271|4.61600017547607|1.05079552158713|58.8806610107422|0.0105079552158713|7801.05079552159|LONG|2023-11-02 12:45:00.000000|2023-11-02 15:46:32.601511
25|UNIUSDT|1m|BUY|1.0|100.0|4.65912991523743|4.38234992027283|4.61299991607666|0.0|0.0|67.269905090332|0.0|7701.05079552159|LONG|2023-11-02 12:45:00.000000|2023-11-02 15:46:44.060474
26|SOLUSDT|1m|SELL|1.0|100.0|41.1146987915039|43.6064987182617|41.5299987792969|41.0800018310547|1.08354678377509|47.2582054138184|0.0108354678377509|7802.13434230536|SHORT|2023-11-02 12:52:00.000000|2023-11-02 15:53:57.500349
27|SOLUSDT|1m|BUY|1.0|100.0|40.6692018127441|43.1340019226074|41.0800018310547|0.0|0.0|32.1422653198242|0.0|7702.13434230536|SHORT|2023-11-02 12:53:00.000000|2023-11-02 15:54:04.840026
28|ADAUSDT|1m|SELL|1.0|100.0|0.303237014114857|0.321615014970303|0.306300014257431|0.303099989891052|1.04473531246185|50.9275054931641|0.0104473531246185|7803.17907761782|SHORT|2023-11-02 12:54:00.000000|2023-11-02 15:55:36.461182
29|ADAUSDT|1m|BUY|1.0|100.0|0.300168006420135|0.318360006809235|0.303200006484985|0.0|0.0|26.0765914916992|0.0|7703.17907761782|SHORT|2023-11-02 12:54:00.000000|2023-11-02 15:55:43.679320
30|SOLUSDT|1m|SELL|1.0|100.0|40.6692018127441|43.1340019226074|41.0800018310547|40.6300010681152|1.09542533755302|32.1422653198242|0.0109542533755302|7804.27450295538|SHORT|2023-11-02 12:57:00.000000|2023-11-02 15:58:43.309896
31|SOLUSDT|1m|BUY|1.0|100.0|39.669299697876|42.0734996795654|40.0699996948242|0.0|0.0|16.7777404785156|0.0|7704.27450295538|SHORT|2023-11-02 12:57:00.000000|2023-11-02 15:58:50.572144
32|LINKUSDT|15m|SELL|1.0|100.0|10.9206901359558|11.5825501441956|11.0310001373291|10.9169998168945|1.03345410898328|37.4061660766602|0.0103345410898328|7805.30795706436|SHORT|2023-11-02 12:30:00.000000|2023-11-02 15:58:51.731632
33|AVAXUSDT|15m|SELL|1.0|100.0|11.553300075531|12.2535000801086|11.6700000762939|11.5500001907349|1.02827660739422|29.8016891479492|0.0102827660739422|7906.33623367175|SHORT|2023-11-02 12:30:00.000000|2023-11-02 15:59:05.278707
34|AVAXUSDT|1m|SELL|1.0|100.0|11.543399848938|12.2429998397827|11.6599998474121|11.539999961853|1.02915856987238|46.2664985656738|0.0102915856987238|8007.36539224163|SHORT|2023-11-02 12:58:00.000000|2023-11-02 15:59:09.515670
35|LINKUSDT|1m|SELL|1.0|100.0|10.899900226593|11.5605002403259|11.0100002288818|10.8889999389648|1.0990034788847|52.1202392578125|0.010990034788847|8108.46439572051|SHORT|2023-11-02 12:58:00.000000|2023-11-02 15:59:27.520775
36|LINKUSDT|1m|BUY|1.0|100.0|10.7900101661682|11.443950176239|10.8990001678467|0.0|0.0|28.7001266479492|0.0|8008.46439572051|SHORT|2023-11-02 12:58:00.000000|2023-11-02 15:59:35.765222
37|LINKUSDT|15m|BUY|1.0|100.0|10.786050453186|11.4397504806519|10.8950004577637|0.0|0.0|30.2539520263672|0.0|7908.46439572051|SHORT|2023-11-02 12:45:00.000000|2023-11-02 16:00:01.191920
38|AVAXUSDT|30m|BUY|1.5|100.0|11.6928004646301|10.6560004234314|11.5200004577637|0.0|0.0|31.1127166748047|0.0|7808.46439572051|LONG|2023-11-02 12:30:00.000000|2023-11-02 16:00:01.912239
39|ADAUSDT|30m|BUY|1.0|100.0|0.297297002077103|0.315315002202988|0.300300002098083|0.0|0.0|35.0412445068359|0.0|7708.46439572051|SHORT|2023-11-02 12:30:00.000000|2023-11-02 16:00:02.716131
40|AVAXUSDT|15m|BUY|1.0|100.0|11.4146997356415|12.1064997196198|11.5299997329712|0.0|0.0|24.4885482788086|0.0|7608.46439572051|SHORT|2023-11-02 12:45:00.000000|2023-11-02 16:00:03.058022
41|DOTUSDT|30m|BUY|1.5|100.0|4.52016522169113|4.93317524194717|4.58900022506714|0.0|0.0|37.8841094970703|0.0|7508.46439572051|SHORT|2023-11-02 12:30:00.000000|2023-11-02 16:00:03.218887
42|DOGEUSDT|30m|BUY|1.0|100.0|0.0668051978945732|0.0708539977669716|0.0674799978733063|0.0|0.0|32.3237686157227|0.0|7408.46439572051|SHORT|2023-11-02 12:30:00.000000|2023-11-02 16:00:04.735012
43|ETHUSDT|30m|BUY|1.0|100.0|1784.95018066406|1893.12897949219|1802.97998046875|0.0|0.0|27.7193298339844|0.0|7308.46439572051|SHORT|2023-11-02 12:30:00.000000|2023-11-02 16:00:05.585059
44|BNBUSDT|1h|BUY|1.5|100.0|232.9425|212.2875|229.5|0.0|0.0|51.9402084350586|0.0|7208.46439572051|LONG|2023-11-02 12:00:00.000000|2023-11-02 16:00:05.747827
45|AVAXUSDT|1h|BUY|1.5|100.0|11.3472004508972|12.3840004920959|11.5200004577637|0.0|0.0|39.1646385192871|0.0|7108.46439572051|SHORT|2023-11-02 12:00:00.000000|2023-11-02 16:00:06.928140
46|LINKUSDT|1h|BUY|1.5|100.0|10.7296046543121|11.7099746227264|10.8929996490479|0.0|0.0|35.0778503417969|0.0|7008.46439572051|SHORT|2023-11-02 12:00:00.000000|2023-11-02 16:00:07.395166
47|AVAXUSDT|1m|BUY|1.0|100.0|11.404800453186|12.0960004806519|11.5200004577637|0.0|0.0|23.3314056396484|0.0|6908.46439572051|SHORT|2023-11-02 12:59:00.000000|2023-11-02 16:00:08.119802
48|ETHUSDT|1h|BUY|1.5|100.0|1830.00436035156|1667.73796386719|1802.9599609375|0.0|0.0|34.7128829956055|0.0|6808.46439572051|LONG|2023-11-02 12:00:00.000000|2023-11-02 16:00:08.651950
49|UNIUSDT|30m|BUY|1.5|100.0|4.62738501548767|4.21707501411438|4.55900001525879|0.0|0.0|43.5270004272461|0.0|6708.46439572051|LONG|2023-11-02 12:30:00.000000|2023-11-02 16:00:08.767081
50|ATOMUSDT|15m|BUY|1.0|100.0|7.70024007320404|7.24280006885528|7.62400007247925|0.0|0.0|26.902717590332|0.0|6608.46439572051|LONG|2023-11-02 12:45:00.000000|2023-11-02 16:00:08.818118
51|ATOMUSDT|1m|SELL|1.0|100.0|7.61310005664825|8.07450006008148|7.69000005722046|7.61100006103516|1.02730812504888|50.1579399108887|0.0102730812504888|6709.49170384556|SHORT|2023-11-02 12:59:00.000000|2023-11-02 16:00:22.006635
52|ATOMUSDT|1m|BUY|1.0|100.0|7.58637010574341|8.0461501121521|7.66300010681152|0.0|0.0|40.8994369506836|0.0|6609.49170384556|SHORT|2023-11-02 13:00:00.000000|2023-11-02 16:01:06.783231
53|UNIUSDT|30m|SELL|1.5|100.0|4.62738501548767|4.21707501411438|4.55900001525879|4.62799978256226|1.5134846791625|43.5270004272461|0.015134846791625|6711.00518852472|LONG|2023-11-02 12:30:00.000000|2023-11-02 16:05:48.522330
54|ATOMUSDT|15m|SELL|1.0|100.0|7.70024007320404|7.24280006885528|7.62400007247925|7.70100021362305|1.00997034460306|26.902717590332|0.0100997034460306|6812.01515886933|LONG|2023-11-02 12:45:00.000000|2023-11-02 16:09:35.559677
55|ATOMUSDT|15m|BUY|1.0|100.0|7.75983008861542|7.29885008335113|7.68300008773804|0.0|0.0|35.7763977050781|0.0|6712.01515886933|LONG|2023-11-02 13:00:00.000000|2023-11-02 16:15:05.949071
56|XRPUSDT|1m|BUY|1.0|100.0|0.596376004815102|0.632520005106926|0.602400004863739|0.0|0.0|35.184928894043|0.0|6612.01515886933|SHORT|2023-11-02 13:18:00.000000|2023-11-02 16:19:03.660384
57|LTCUSDT|15m|SELL|1.0|100.0|68.4189006042481|72.5655006408691|69.1100006103516|68.4000015258789|1.02734640240669|37.635082244873|0.0102734640240669|6713.04250527173|SHORT|2023-11-02 13:00:00.000000|2023-11-02 16:19:41.462528
58|LTCUSDT|15m|BUY|1.0|100.0|69.1445990753174|65.036999130249|68.4599990844727|0.0|0.0|32.5133056640625|0.0|6613.04250527173|LONG|2023-11-02 13:00:00.000000|2023-11-02 16:19:48.898482
59|LTCUSDT|1m|SELL|1.0|100.0|68.2803012084961|72.4185012817383|68.9700012207031|68.2799987792969|1.00043853744864|44.210319519043|0.0100043853744864|6714.04294380918|SHORT|2023-11-02 13:19:00.000000|2023-11-02 16:20:17.733329
60|DOTUSDT|15m|SELL|1.0|100.0|4.58271018505096|4.86045019626617|4.62900018692017|4.58099985122681|1.03694824501872|42.3345184326172|0.0103694824501872|6815.0798920542|SHORT|2023-11-02 13:00:00.000000|2023-11-02 16:20:17.781725
61|DOTUSDT|15m|BUY|1.0|100.0|4.53816010951996|4.81320011615753|4.58400011062622|0.0|0.0|37.8990287780762|0.0|6715.0798920542|SHORT|2023-11-02 13:00:00.000000|2023-11-02 16:20:25.229704
62|DOGEUSDT|1m|SELL|1.0|100.0|0.0672210019826889|0.0712950021028519|0.0679000020027161|0.067220002412796|1.00147211924195|51.8534240722656|0.0100147211924195|6816.08136417344|SHORT|2023-11-02 13:19:00.000000|2023-11-02 16:21:00.652286
63|DOGEUSDT|1m|BUY|1.0|100.0|0.0665478023886681|0.0705810025334358|0.067220002412796|0.0|0.0|31.6819534301758|0.0|6716.08136417344|SHORT|2023-11-02 13:20:00.000000|2023-11-02 16:21:07.915574
