symbol;interval;estimator;stop_loss;times_regression_profit_and_loss;features;final_value
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume'];203.87776702011809
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'rsi', 'ema_24p'];203.98027138235386
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'rsi', 'ema_200p'];206.18813311716215
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'rsi'];206.52061324679718
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'rsi', 'ema_200p'];208.96224688008593
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];213.33609183828588
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_quote_asset_volume', 'rsi'];213.99178753408663
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'ema_24p', 'ema_200p'];216.69579062384435
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];217.47638562017744
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'rsi', 'ema_24p'];217.53199310924992
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'rsi', 'ema_24p'];218.71619995990397
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];218.86366187177663
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume'];219.06535128960954
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'rsi', 'ema_200p'];219.42849041104307
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'ema_24p', 'ema_200p'];219.93493323790727
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi'];220.2198334081942
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'rsi', 'ema_24p'];220.31620347883091
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'rsi', 'ema_24p'];220.65903906658335
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p'];220.70588316432648
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'rsi', 'ema_200p'];221.5650698867411
