date;symbol;interval;estimator;fix_imbalance_method;stop_loss;times_regression_profit_and_loss;features;final_value;score
2023-10-17 22:35:20;BTCUSDT;30m;knn;allknn;1.0;48;['open_time', 'status', 'number_of_trades', 'quote_asset_volume'];206.18841175420468;[CAI_1.0=0.46][ESTAVEL=0.31][SOBE_1.0=0.36]
2023-10-17 22:35:11;BTCUSDT;30m;knn;instancehardnessthreshold;1.0;48;['open_time', 'status', 'number_of_trades', 'quote_asset_volume'];220.02944700359953;[CAI_1.0=0.54][ESTAVEL=0.33][SOBE_1.0=0.29]
2023-10-17 22:33:12;BTCUSDT;30m;knn;instancehardnessthreshold;1.0;48;['open_time', 'status', 'quote_asset_volume'];242.70818143246063;[CAI_1.0=0.51][ESTAVEL=0.28][SOBE_1.0=0.31]
2023-10-17 22:35:51;BTCUSDT;30m;knn;instancehardnessthreshold;1.0;48;['open_time', 'status', 'number_of_trades', 'ema_48p'];247.37649137863866;[CAI_1.0=0.52][ESTAVEL=0.27][SOBE_1.0=0.29]
2023-10-17 22:36:31;BTCUSDT;30m;knn;instancehardnessthreshold;1.0;48;['open_time', 'status', 'number_of_trades', 'ema_200p'];269.0715560739681;[CAI_1.0=0.49][ESTAVEL=0.32][SOBE_1.0=0.30]
2023-10-17 22:32:15;BTCUSDT;30m;knn;repeatededitednearestneighbours;1.0;48;['open_time', 'status', 'number_of_trades'];290.25591908830825;[CAI_1.0=0.36][ESTAVEL=0.47][SOBE_1.0=0.33]
2023-10-17 22:33:50;BTCUSDT;30m;knn;instancehardnessthreshold;1.0;48;['open_time', 'status', 'ema_48p'];290.64134772602347;[CAI_1.0=0.43][ESTAVEL=0.10][SOBE_1.0=0.45]
2023-10-17 22:34:29;BTCUSDT;30m;knn;instancehardnessthreshold;1.0;48;['open_time', 'status', 'ema_200p'];291.40726672973517;[CAI_1.0=0.57][ESTAVEL=0.09][SOBE_1.0=0.31]
2023-10-17 22:33:21;BTCUSDT;30m;knn;allknn;1.0;48;['open_time', 'status', 'quote_asset_volume'];311.03660406367703;[CAI_1.0=0.51][ESTAVEL=0.30][SOBE_1.0=0.31]
2023-10-17 22:36:10;BTCUSDT;30m;knn;repeatededitednearestneighbours;1.0;48;['open_time', 'status', 'number_of_trades', 'ema_200p'];340.4351913534941;[CAI_1.0=0.47][ESTAVEL=0.21][SOBE_1.0=0.41]
2023-10-17 22:34:49;BTCUSDT;30m;knn;repeatededitednearestneighbours;1.0;48;['open_time', 'status', 'number_of_trades', 'quote_asset_volume'];376.5415482040889;[CAI_1.0=0.49][ESTAVEL=0.40][SOBE_1.0=0.30]
2023-10-17 22:32:53;BTCUSDT;30m;knn;repeatededitednearestneighbours;1.0;48;['open_time', 'status', 'quote_asset_volume'];377.0796005566779;[CAI_1.0=0.48][ESTAVEL=0.39][SOBE_1.0=0.30]
2023-10-17 22:35:30;BTCUSDT;30m;knn;repeatededitednearestneighbours;1.0;48;['open_time', 'status', 'number_of_trades', 'ema_48p'];379.46882036419396;[CAI_1.0=0.38][ESTAVEL=0.23][SOBE_1.0=0.46]
2023-10-17 22:34:13;BTCUSDT;30m;knn;repeatededitednearestneighbours;1.0;48;['open_time', 'status', 'ema_200p'];403.4442021699067;[CAI_1.0=0.50][ESTAVEL=0.05][SOBE_1.0=0.46]
2023-10-17 22:36:00;BTCUSDT;30m;knn;allknn;1.0;48;['open_time', 'status', 'number_of_trades', 'ema_48p'];421.8048985656081;[CAI_1.0=0.41][ESTAVEL=0.16][SOBE_1.0=0.48]
2023-10-17 22:32:43;BTCUSDT;30m;knn;allknn;1.0;48;['open_time', 'status', 'number_of_trades'];423.05104745895346;[CAI_1.0=0.39][ESTAVEL=0.40][SOBE_1.0=0.33]
2023-10-17 22:36:40;BTCUSDT;30m;knn;allknn;1.0;48;['open_time', 'status', 'number_of_trades', 'ema_200p'];423.4026542185992;[CAI_1.0=0.49][ESTAVEL=0.15][SOBE_1.0=0.43]
2023-10-17 22:34:38;BTCUSDT;30m;knn;allknn;1.0;48;['open_time', 'status', 'ema_200p'];427.817070877592;[CAI_1.0=0.53][ESTAVEL=0.03][SOBE_1.0=0.46]
2023-10-17 22:33:34;BTCUSDT;30m;knn;repeatededitednearestneighbours;1.0;48;['open_time', 'status', 'ema_48p'];596.4523729372175;[CAI_1.0=0.42][ESTAVEL=0.06][SOBE_1.0=0.53]
2023-10-17 22:33:59;BTCUSDT;30m;knn;allknn;1.0;48;['open_time', 'status', 'ema_48p'];664.8566809365944;[CAI_1.0=0.45][ESTAVEL=0.03][SOBE_1.0=0.50]
2023-10-17 22:32:34;BTCUSDT;30m;knn;instancehardnessthreshold;1.0;48;['open_time', 'status', 'number_of_trades'];746.6686818950254;[CAI_1.0=0.41][ESTAVEL=0.34][SOBE_1.0=0.33]
